source,target,predicted_log2FC,predicted_direction,abs_predicted_log2FC,method,state,embedding_mode,k,metric
AKAP8,BAIAP2L1,0.5381653871039407,up,0.5381653871039407,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
AKAP8,LSR,0.5126349443466943,up,0.5126349443466943,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
AKAP8,SPINT2,0.5012577353790499,up,0.5012577353790499,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ARID5B,FAM20C,0.5518426369596322,up,0.5518426369596322,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ARID5B,FCGBP,0.5121994056779476,up,0.5121994056779476,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ARID5B,L1CAM,0.5020842380478581,up,0.5020842380478581,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ARID5B,SLC35G2,0.533903156813799,up,0.533903156813799,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ARID5B,SYP,0.5150351960455234,up,0.5150351960455234,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ARID5B,ZNF844,0.5788833410026887,up,0.5788833410026887,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ARID5B,ZSCAN18,0.6266110381322267,up,0.6266110381322267,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF2,LYZ,-0.718343315768344,down,0.718343315768344,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,CCL1,1.224511726566042,up,1.224511726566042,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,CCL4,0.6749196240217145,up,0.6749196240217145,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,CD200,1.0281297179356088,up,1.0281297179356088,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,COL6A2,0.7406871567379028,up,0.7406871567379028,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,CRTAM,1.4721616869378806,up,1.4721616869378806,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,CTHRC1,0.9461202673314613,up,0.9461202673314613,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,EGR2,0.9376597091601792,up,0.9376597091601792,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,ELAPOR1,0.7595651175508507,up,0.7595651175508507,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,EVC,0.6196941500845665,up,0.6196941500845665,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,GNG4,1.138102503844128,up,1.138102503844128,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,HMOX1,0.5665092785387258,up,0.5665092785387258,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,LAG3,0.6917515329179282,up,0.6917515329179282,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,NCR3LG1,0.5382264797495133,up,0.5382264797495133,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,PLAAT3,0.5780544031315065,up,0.5780544031315065,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,POU2AF1,0.7803517477570111,up,0.7803517477570111,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,PRRX2,0.6599529628696363,up,0.6599529628696363,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,RHOB,0.5369781305292592,up,0.5369781305292592,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,SHC4,0.7057146346239153,up,0.7057146346239153,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,SHF,0.7405709506995464,up,0.7405709506995464,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,SLC43A2,0.737043038801909,up,0.737043038801909,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,TBC1D30,0.8490109594811358,up,0.8490109594811358,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ATF6,TNFRSF9,0.8477069354382997,up,0.8477069354382997,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
BCL11A,PTGIS,0.5727623009266641,up,0.5727623009266641,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
CEBPA,IL5,0.511917283251139,up,0.511917283251139,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
CREB3,LYZ,-0.6701231820191862,down,0.6701231820191862,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
DBP,GNLY,-0.6717251936571069,down,0.6717251936571069,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
E2F4,MT1G,0.6077424810047724,up,0.6077424810047724,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
E2F4,MT1H,0.7972084711382148,up,0.7972084711382148,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR2,LGALS4,0.5709107397815725,up,0.5709107397815725,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,CCL1,0.7165424316759612,up,0.7165424316759612,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,CCL4,1.002372293031735,up,1.002372293031735,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,CD200,0.6860789794580863,up,0.6860789794580863,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,CRTAM,1.050727260118744,up,1.050727260118744,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,CTHRC1,0.6094653107667428,up,0.6094653107667428,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,EGR2,0.6165884449457975,up,0.6165884449457975,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,ELAPOR1,0.5102712012700513,up,0.5102712012700513,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,FASLG,0.5196458497526307,up,0.5196458497526307,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,GNG4,0.5485078015180718,up,0.5485078015180718,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,RDH10,0.5173282582399299,up,0.5173282582399299,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,TBC1D30,0.5458395408258566,up,0.5458395408258566,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR3,TNFRSF9,0.647042373482544,up,0.647042373482544,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR4,LYZ,-0.6962940041326964,down,0.6962940041326964,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
EGR4,PMCH,0.5723480158184964,up,0.5723480158184964,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ELF2,PMCH,0.5880336017042616,up,0.5880336017042616,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ELK1,FAM20C,0.6031528252831521,up,0.6031528252831521,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ELK1,KIF26A,0.5303959222271958,up,0.5303959222271958,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ELK1,ZNF347,0.5380366254090042,up,0.5380366254090042,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ELK1,ZNF844,0.6327077671250383,up,0.6327077671250383,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ELK1,ZSCAN18,0.6848731734201037,up,0.6848731734201037,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ELK3,KLRB1,0.5179993612777511,up,0.5179993612777511,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ELK3,PRG4,0.6921843988616831,up,0.6921843988616831,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ESRRA,GNLY,-0.5030600394532195,down,0.5030600394532195,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ETS1,GZMH,0.5331096222430778,up,0.5331096222430778,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ETS1,GZMK,0.5664530474856366,up,0.5664530474856366,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ETS1,LYZ,-0.5670821903328305,down,0.5670821903328305,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ETS1,MT1G,0.5434894629526534,up,0.5434894629526534,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ETS1,MT1H,0.7129243345370355,up,0.7129243345370355,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
ETV6,PMCH,0.6621376831163154,up,0.6621376831163154,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
FOXB1,G0S2,0.5064426439549522,up,0.5064426439549522,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
FOXP1,LYZ,-0.6392355282153268,down,0.6392355282153268,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GATA1,LYZ,-0.8749848588374276,down,0.8749848588374276,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GATAD2A,CCL1,0.5619595090084054,up,0.5619595090084054,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GATAD2A,CRTAM,0.8775276620926964,up,0.8775276620926964,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GPBP1L1,BAIAP2L1,0.5529493433205042,up,0.5529493433205042,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GPBP1L1,IRF6,0.5025461842302221,up,0.5025461842302221,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GPBP1L1,LSR,0.5267175530649659,up,0.5267175530649659,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GPBP1L1,RTKN2,-0.5906222008792655,down,0.5906222008792655,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
GPBP1L1,SPINT2,0.5150278004754631,up,0.5150278004754631,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIC1,LYZ,-0.6398634881885276,down,0.6398634881885276,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,CD180,0.759337171138294,up,0.759337171138294,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,CYP1A1,0.5998673622496744,up,0.5998673622496744,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,FAM20C,0.5436894826722687,up,0.5436894826722687,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,VNN2,0.59265342925744,up,0.59265342925744,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,ZNF844,0.570330676026342,up,0.570330676026342,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HIF1A,ZSCAN18,0.6173532241651796,up,0.6173532241651796,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGA1,CCL1,0.5347947420777039,up,0.5347947420777039,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGA1,CRTAM,0.7502313693630331,up,0.7502313693630331,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGA1,LGMN,0.5276895140266337,up,0.5276895140266337,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGA1,TNFRSF9,0.508867150700055,up,0.508867150700055,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HMGN3,GNLY,-0.5622821369228961,down,0.5622821369228961,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HSF1,BAIAP2L1,0.6728653756518276,up,0.6728653756518276,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HSF1,IRF6,0.6115314741199767,up,0.6115314741199767,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HSF1,LSR,0.6409447962759298,up,0.6409447962759298,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HSF1,SPINT1,0.5433288002659841,up,0.5433288002659841,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
HSF1,SPINT2,0.984365907811155,up,0.984365907811155,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
IRF4,DHRS3,0.5492080329078708,up,0.5492080329078708,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
IRF4,FCGBP,0.5110306892152648,up,0.5110306892152648,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
IRF4,NRP2,0.5629974574303908,up,0.5629974574303908,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
IRF4,SERPINB6,0.7367530983667742,up,0.7367530983667742,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
IRF4,ZSCAN18,0.513915054804903,up,0.513915054804903,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
IRF7,CCL4,0.642760552438023,up,0.642760552438023,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
IRF7,CTHRC1,0.5091580836191423,up,0.5091580836191423,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
IRF7,LAG3,0.6816525224934091,up,0.6816525224934091,kNN_predicted_perturb_net,CD4_rest,pca_perturbseq_file,10,cosine
